Year,Month,Day,regulations,catch_area_code,location_code,location_name,boats,anglers,ChinookCaught,ChinAdClipped
2001,2,20,NA,13,1561,Narrows Properties Park,4,4,,
2001,2,21,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",3,5,,
2001,2,21,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",1,1,,
2001,2,21,NA,10,1174,Point Defiance Public Ramp,1,2,,
2001,2,21,NA,11,1174,Point Defiance Public Ramp,18,33,,
2001,2,21,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",13,21,,
2001,2,21,NA,9,1192,Port Townsend Boat Haven Ramp,11,19,,
2001,2,22,NA,7,1013,Bellingham Ramp (Glenn St.),5,9,,
2001,2,22,NA,6,1041,Coronet Bay Public Ramp,1,2,,
2001,2,22,NA,7,1041,Coronet Bay Public Ramp,7,14,,
2001,2,22,NA,9,1138,Mats Mats Bay Ramp,5,8,,
2001,2,22,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",14,22,,
2001,2,22,NA,9,1192,Port Townsend Boat Haven Ramp,1,2,,
2001,2,22,NA,10,1227,Shilshole Public Ramp,6,9,,
2001,2,23,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",25,48,,
2001,2,23,NA,7,1231,Skyline Marina/Sling (Flounder Bay),6,9,,
2001,2,24,NA,9,1006,Armeni Public Ramp,1,2,,
2001,2,24,NA,10,1006,Armeni Public Ramp,33,66,,
2001,2,24,NA,7,1013,Bellingham Ramp (Glenn St.),26,52,,
2001,2,24,NA,81,1029,Camano Island State Park Public Ramp,10,20,,
2001,2,24,NA,82,1029,Camano Island State Park Public Ramp,20,40,,
2001,2,24,NA,7,1041,Coronet Bay Public Ramp,4,8,,
2001,2,24,NA,15,1041,Coronet Bay Public Ramp,1,2,,
2001,2,24,NA,81,1041,Coronet Bay Public Ramp,2,5,,
2001,2,24,NA,9,1151,Norton Street (Everett) Ramp,26,59,,
2001,2,24,NA,10,1151,Norton Street (Everett) Ramp,4,9,,
2001,2,24,NA,81,1151,Norton Street (Everett) Ramp,6,11,,
2001,2,24,NA,82,1151,Norton Street (Everett) Ramp,80,169,,
2001,2,24,NA,11,1174,Point Defiance Public Ramp,38,75,,
2001,2,24,NA,9,1192,Port Townsend Boat Haven Ramp,21,45,,
2001,2,24,NA,12,1217,Seabeck Marina (Pecks),5,9,,
2001,2,25,NA,7,1013,Bellingham Ramp (Glenn St.),26,50,,
2001,2,25,NA,15,1013,Bellingham Ramp (Glenn St.),1,3,,
2001,2,25,NA,13,1019,Boston Harbor Ramp/Marina,3,7,,
2001,2,25,NA,6,1041,Coronet Bay Public Ramp,2,2,,
2001,2,25,NA,7,1041,Coronet Bay Public Ramp,5,10,,
2001,2,25,NA,81,1041,Coronet Bay Public Ramp,2,6,,
2001,2,25,NA,9,1055,Edmonds Boat Basin (Public Sling),17,37,,
2001,2,25,NA,10,1055,Edmonds Boat Basin (Public Sling),10,19,,
2001,2,25,NA,82,1055,Edmonds Boat Basin (Public Sling),2,4,,
2001,2,25,NA,10,1149,"Narrows Marina (Boathouse, Ramp, Rental)",1,3,,
2001,2,25,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",4,6,,
2001,2,25,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",2,3,,
2001,2,25,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",10,19,,
2001,2,25,NA,9,1227,Shilshole Public Ramp,4,9,,
2001,2,25,NA,10,1227,Shilshole Public Ramp,33,63,,
2001,2,25,NA,7,1245,Swinomish Channel Ramp,1,3,,
2001,2,25,NA,7,1268,Washington Park Launch Ramp,37,80,,
2001,2,25,NA,13,1279,Zittels Marina,6,12,,
2001,2,26,NA,7,1013,Bellingham Ramp (Glenn St.),3,4,,
2001,2,26,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",1,1,,
2001,2,26,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",4,7,,
2001,2,26,NA,11,1173,Point Defiance Boathouse,7,9,,
2001,2,26,NA,11,1174,Point Defiance Public Ramp,10,13,,
2001,2,26,NA,11,1281,Point Defiance Dock,5,5,,
2001,2,27,NA,10,1006,Armeni Public Ramp,6,7,,
2001,2,27,NA,11,1173,Point Defiance Boathouse,8,11,,
2001,2,27,NA,11,1174,Point Defiance Public Ramp,7,10,,
2001,2,27,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",14,22,,
2001,2,27,NA,9,1192,Port Townsend Boat Haven Ramp,9,17,,
2001,2,27,NA,9,1227,Shilshole Public Ramp,1,2,,
2001,2,27,NA,10,1227,Shilshole Public Ramp,8,14,,
2001,2,27,NA,7,1268,Washington Park Launch Ramp,12,20,,
2001,2,27,NA,13,1561,Narrows Properties Park,1,1,,
2001,2,28,NA,7,1013,Bellingham Ramp (Glenn St.),3,4,,
2001,2,28,NA,12,1143,Misery Point Ramp,1,1,,
2001,2,28,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",16,25,,
2001,2,28,NA,9,1192,Port Townsend Boat Haven Ramp,6,10,,
2001,2,28,NA,12,1217,Seabeck Marina (Pecks),4,6,,
2001,2,28,NA,11,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,1,1,,
2001,2,28,NA,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,4,5,,
2001,3,1,NA,7,1041,Coronet Bay Public Ramp,1,1,,
2001,3,1,NA,9,1192,Port Townsend Boat Haven Ramp,3,4,,
2001,3,2,NA,10,1006,Armeni Public Ramp,6,11,,
2001,3,2,NA,7,1041,Coronet Bay Public Ramp,1,2,,
2001,3,2,NA,81,1041,Coronet Bay Public Ramp,1,1,,
2001,3,2,NA,9,1151,Norton Street (Everett) Ramp,3,6,,
2001,3,2,NA,82,1151,Norton Street (Everett) Ramp,15,31,,
2001,3,2,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",13,21,,
2001,3,2,NA,7,1268,Washington Park Launch Ramp,6,12,,
2001,3,3,NA,7,1013,Bellingham Ramp (Glenn St.),19,41,,
2001,3,3,NA,9,1055,Edmonds Boat Basin (Public Sling),12,26,,
2001,3,3,NA,10,1055,Edmonds Boat Basin (Public Sling),13,26,,
2001,3,3,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",6,8,,
2001,3,3,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",3,3,,
2001,3,3,NA,12,1170,Pleasant Harbor Marina,5,12,,
2001,3,3,NA,11,1174,Point Defiance Public Ramp,5,11,,
2001,3,3,NA,12,1217,Seabeck Marina (Pecks),17,37,,
2001,3,3,NA,7,1268,Washington Park Launch Ramp,50,106,,
2001,3,4,NA,10,1006,Armeni Public Ramp,29,61,,
2001,3,4,NA,7,1013,Bellingham Ramp (Glenn St.),32,70,,
2001,3,4,NA,12,1143,Misery Point Ramp,2,5,,
2001,3,4,NA,9,1151,Norton Street (Everett) Ramp,20,42,,
2001,3,4,NA,10,1151,Norton Street (Everett) Ramp,1,2,,
2001,3,4,NA,82,1151,Norton Street (Everett) Ramp,89,186,,
2001,3,4,NA,12,1170,Pleasant Harbor Marina,15,31,,
2001,3,4,NA,12,1217,Seabeck Marina (Pecks),16,31,,
2001,3,4,NA,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,2,4,,
2001,3,4,NA,7,1268,Washington Park Launch Ramp,49,107,,
2001,3,4,NA,13,1561,Narrows Properties Park,4,4,,
2001,3,5,NA,7,1013,Bellingham Ramp (Glenn St.),1,2,,
2001,3,5,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",2,3,,
2001,3,5,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",2,3,,
2001,3,5,NA,11,1173,Point Defiance Boathouse,5,7,,
2001,3,5,NA,11,1174,Point Defiance Public Ramp,10,18,,
2001,3,5,NA,10,1227,Shilshole Public Ramp,3,4,,
2001,3,6,NA,10,1006,Armeni Public Ramp,8,11,,
2001,3,6,NA,7,1013,Bellingham Ramp (Glenn St.),6,8,,
2001,3,6,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",7,10,,
2001,3,6,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",4,5,,
2001,3,6,NA,9,1192,Port Townsend Boat Haven Ramp,5,9,,
2001,3,6,NA,10,1227,Shilshole Public Ramp,7,13,,
2001,3,6,NA,11,1227,Shilshole Public Ramp,1,2,,
2001,3,7,NA,11,1173,Point Defiance Boathouse,12,14,,
2001,3,7,NA,11,1174,Point Defiance Public Ramp,7,12,,
2001,3,7,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",12,17,,
2001,3,7,NA,15,1186,"Ediz Hook, Port Angeles Public Ramp",1,2,,
2001,3,7,NA,9,1192,Port Townsend Boat Haven Ramp,13,21,,
2001,3,7,NA,12,1217,Seabeck Marina (Pecks),2,2,,
2001,3,8,NA,10,1006,Armeni Public Ramp,8,15,,
2001,3,8,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",10,16,,
2001,3,8,NA,9,1192,Port Townsend Boat Haven Ramp,11,21,,
2001,3,8,NA,7,1268,Washington Park Launch Ramp,6,8,,
2001,3,9,NA,6,1041,Coronet Bay Public Ramp,1,2,,
2001,3,9,NA,7,1041,Coronet Bay Public Ramp,3,5,,
2001,3,9,NA,81,1041,Coronet Bay Public Ramp,1,2,,
2001,3,9,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",18,29,,
2001,3,9,NA,15,1186,"Ediz Hook, Port Angeles Public Ramp",1,2,,
2001,3,9,NA,7,1268,Washington Park Launch Ramp,9,19,,
2001,3,10,NA,9,1006,Armeni Public Ramp,2,3,,
2001,3,10,NA,10,1006,Armeni Public Ramp,32,64,,
2001,3,10,NA,11,1006,Armeni Public Ramp,2,2,,
2001,3,10,NA,7,1013,Bellingham Ramp (Glenn St.),25,52,,
2001,3,10,NA,7,1018,Blaine Ramp,3,6,,
2001,3,10,NA,10,1174,Point Defiance Public Ramp,2,5,,
2001,3,10,NA,11,1174,Point Defiance Public Ramp,39,80,,
2001,3,10,NA,13,1174,Point Defiance Public Ramp,1,2,,
2001,3,10,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",12,24,,
2001,3,10,NA,9,1227,Shilshole Public Ramp,6,14,,
2001,3,10,NA,10,1227,Shilshole Public Ramp,20,39,,
2001,3,10,NA,11,1279,Zittels Marina,1,3,,
2001,3,10,NA,13,1279,Zittels Marina,4,9,,
2001,3,10,NA,13,1561,Narrows Properties Park,4,4,,
2001,3,11,NA,7,1013,Bellingham Ramp (Glenn St.),23,46,,
2001,3,11,NA,15,1013,Bellingham Ramp (Glenn St.),1,1,,
2001,3,11,NA,9,1055,Edmonds Boat Basin (Public Sling),16,34,,
2001,3,11,NA,10,1055,Edmonds Boat Basin (Public Sling),4,12,,
2001,3,11,NA,82,1055,Edmonds Boat Basin (Public Sling),1,3,,
2001,3,11,NA,6,1072,Freshwater Bay Ramp,3,7,,
2001,3,11,NA,6,1107,John Wayne Marina,1,2,,
2001,3,11,NA,12,1143,Misery Point Ramp,2,3,,
2001,3,11,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",10,17,,
2001,3,11,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",5,6,,
2001,3,11,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",29,54,,
2001,3,11,NA,12,1217,Seabeck Marina (Pecks),4,7,,
2001,3,11,NA,7,1231,Skyline Marina/Sling (Flounder Bay),6,12,,
2001,3,11,NA,5,1263,Van Ripers Resort,1,2,,
2001,3,11,NA,7,1268,Washington Park Launch Ramp,40,86,,
2001,3,11,NA,13,1561,Narrows Properties Park,1,1,,
2001,3,12,NA,10,1006,Armeni Public Ramp,3,5,,
2001,3,12,NA,7,1013,Bellingham Ramp (Glenn St.),1,3,,
2001,3,12,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",1,1,,
2001,3,12,NA,11,1173,Point Defiance Boathouse,15,17,,
2001,3,12,NA,13,1561,Narrows Properties Park,7,7,,
2001,3,13,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",5,8,,
2001,3,13,NA,13,1561,Narrows Properties Park,1,1,,
2001,3,14,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",4,7,,
2001,3,14,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",2,3,,
2001,3,14,NA,11,1174,Point Defiance Public Ramp,12,17,,
2001,3,14,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",14,19,,
2001,3,14,NA,9,1192,Port Townsend Boat Haven Ramp,1,1,,
2001,3,14,NA,9,1227,Shilshole Public Ramp,1,3,,
2001,3,14,NA,10,1227,Shilshole Public Ramp,7,10,,
2001,3,14,NA,7,1268,Washington Park Launch Ramp,10,13,,
2001,3,15,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",6,9,,
2001,3,16,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",11,18,,
2001,3,16,NA,7,1268,Washington Park Launch Ramp,6,8,,
2001,3,17,NA,7,1013,Bellingham Ramp (Glenn St.),11,24,,
2001,3,17,NA,9,1055,Edmonds Boat Basin (Public Sling),7,20,,
2001,3,17,NA,10,1055,Edmonds Boat Basin (Public Sling),5,7,,
2001,3,17,NA,82,1055,Edmonds Boat Basin (Public Sling),1,2,,
2001,3,17,NA,9,1069,Fort Worden Ramp,2,6,,
2001,3,17,NA,9,1138,Mats Mats Bay Ramp,3,5,,
2001,3,17,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",7,12,,
2001,3,17,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",6,7,,
2001,3,17,NA,9,1151,Norton Street (Everett) Ramp,17,34,,
2001,3,17,NA,81,1151,Norton Street (Everett) Ramp,2,3,,
2001,3,17,NA,82,1151,Norton Street (Everett) Ramp,57,119,,
2001,3,17,NA,10,1174,Point Defiance Public Ramp,1,1,,
2001,3,17,NA,11,1174,Point Defiance Public Ramp,22,42,,
2001,3,17,NA,13,1174,Point Defiance Public Ramp,1,3,,
2001,3,17,NA,7,1268,Washington Park Launch Ramp,24,53,,
2001,3,17,NA,13,1561,Narrows Properties Park,5,5,,
2001,3,18,NA,10,1006,Armeni Public Ramp,20,46,,
2001,3,18,NA,7,1013,Bellingham Ramp (Glenn St.),1,2,,
2001,3,18,NA,81,1041,Coronet Bay Public Ramp,1,2,,
2001,3,18,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",12,21,,
2001,3,18,NA,12,1217,Seabeck Marina (Pecks),3,5,,
2001,3,18,NA,9,1227,Shilshole Public Ramp,1,1,,
2001,3,18,NA,10,1227,Shilshole Public Ramp,5,9,,
2001,3,18,NA,7,1268,Washington Park Launch Ramp,4,8,,
2001,3,19,NA,11,1173,Point Defiance Boathouse,2,2,,
2001,3,19,NA,11,1174,Point Defiance Public Ramp,3,7,,
2001,3,19,NA,13,1561,Narrows Properties Park,10,10,,
2001,3,20,NA,10,1006,Armeni Public Ramp,6,14,,
2001,3,20,NA,11,1174,Point Defiance Public Ramp,8,11,,
2001,3,20,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",10,12,,
2001,3,20,NA,15,1186,"Ediz Hook, Port Angeles Public Ramp",1,1,,
2001,3,20,NA,9,1227,Shilshole Public Ramp,1,3,,
2001,3,20,NA,10,1227,Shilshole Public Ramp,6,8,,
2001,3,21,NA,7,1013,Bellingham Ramp (Glenn St.),4,6,,
2001,3,21,NA,9,1151,Norton Street (Everett) Ramp,2,5,,
2001,3,21,NA,82,1151,Norton Street (Everett) Ramp,22,39,,
2001,3,21,NA,11,1173,Point Defiance Boathouse,7,11,,
2001,3,21,NA,11,1174,Point Defiance Public Ramp,8,14,,
2001,3,21,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",8,11,,
2001,3,22,NA,6,1041,Coronet Bay Public Ramp,3,7,,
2001,3,22,NA,7,1041,Coronet Bay Public Ramp,5,12,,
2001,3,22,NA,15,1041,Coronet Bay Public Ramp,1,2,,
2001,3,22,NA,81,1041,Coronet Bay Public Ramp,1,2,,
2001,3,22,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",9,15,,
2001,3,22,NA,15,1186,"Ediz Hook, Port Angeles Public Ramp",2,4,,
2001,3,22,NA,9,1192,Port Townsend Boat Haven Ramp,10,16,,
2001,3,23,NA,9,1192,Port Townsend Boat Haven Ramp,12,21,,
2001,3,23,NA,7,1268,Washington Park Launch Ramp,20,37,,
2001,3,23,NA,13,1561,Narrows Properties Park,6,6,,
2001,3,24,NA,10,1006,Armeni Public Ramp,30,52,,
2001,3,24,NA,7,1013,Bellingham Ramp (Glenn St.),18,35,,
2001,3,24,NA,7,1018,Blaine Ramp,8,15,,
2001,3,24,NA,15,1018,Blaine Ramp,1,2,,
2001,3,24,NA,9,1151,Norton Street (Everett) Ramp,10,18,,
2001,3,24,NA,81,1151,Norton Street (Everett) Ramp,3,8,,
2001,3,24,NA,82,1151,Norton Street (Everett) Ramp,65,136,,
2001,3,24,NA,11,1174,Point Defiance Public Ramp,16,30,,
2001,3,24,NA,13,1174,Point Defiance Public Ramp,1,1,,
2001,3,24,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",18,33,,
2001,3,24,NA,7,1268,Washington Park Launch Ramp,40,83,,
2001,3,24,NA,81,1268,Washington Park Launch Ramp,1,2,,
2001,3,25,NA,7,1013,Bellingham Ramp (Glenn St.),5,12,,
2001,3,25,NA,9,1055,Edmonds Boat Basin (Public Sling),5,12,,
2001,3,25,NA,10,1055,Edmonds Boat Basin (Public Sling),2,5,,
2001,3,25,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",3,4,,
2001,3,25,NA,4,1159,Olsons (Combined),1,2,,
2001,3,25,NA,5,1159,Olsons (Combined),3,6,,
2001,3,25,NA,9,1227,Shilshole Public Ramp,1,2,,
2001,3,25,NA,10,1227,Shilshole Public Ramp,10,21,,
2001,3,25,NA,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,1,1,,
2001,3,25,NA,7,1268,Washington Park Launch Ramp,9,20,,
2001,3,25,NA,13,1279,Zittels Marina,1,3,,
2001,3,26,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",1,1,,
2001,3,26,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",2,3,,
2001,3,26,NA,11,1173,Point Defiance Boathouse,4,5,,
2001,3,26,NA,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,1,1,,
2001,3,27,NA,10,1006,Armeni Public Ramp,2,2,,
2001,3,27,NA,13,1070,Fox Island Public Ramp,1,1,,
2001,3,27,NA,11,1086,Gig Harbor Ramp,2,2,,
2001,3,27,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",5,6,,
2001,3,27,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",1,1,,
2001,3,27,NA,11,1174,Point Defiance Public Ramp,1,2,,
2001,3,27,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",13,20,,
2001,3,27,NA,9,1227,Shilshole Public Ramp,1,3,,
2001,3,27,NA,10,1227,Shilshole Public Ramp,4,6,,
2001,3,27,NA,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,1,1,,
2001,3,28,NA,10,1006,Armeni Public Ramp,2,4,,
2001,3,28,NA,11,1173,Point Defiance Boathouse,5,5,,
2001,3,28,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",1,1,,
2001,3,28,NA,9,1192,Port Townsend Boat Haven Ramp,6,10,,
2001,3,28,NA,12,1217,Seabeck Marina (Pecks),1,1,,
2001,3,28,NA,7,1268,Washington Park Launch Ramp,3,7,,
2001,3,28,NA,13,1561,Narrows Properties Park,2,2,,
2001,3,29,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",12,18,,
2001,3,29,NA,6,1192,Port Townsend Boat Haven Ramp,1,3,,
2001,3,29,NA,9,1192,Port Townsend Boat Haven Ramp,12,20,,
2001,3,29,NA,7,1268,Washington Park Launch Ramp,3,3,,
2001,3,30,NA,6,1041,Coronet Bay Public Ramp,1,2,,
2001,3,30,NA,7,1041,Coronet Bay Public Ramp,4,7,,
2001,3,30,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",11,16,,
2001,3,30,NA,9,1227,Shilshole Public Ramp,2,4,,
2001,3,30,NA,10,1227,Shilshole Public Ramp,9,13,,
2001,3,31,NA,10,1006,Armeni Public Ramp,12,20,,
2001,3,31,NA,7,1013,Bellingham Ramp (Glenn St.),5,10,,
2001,3,31,NA,7,1018,Blaine Ramp,2,6,,
2001,3,31,NA,13,1093,Hartstene Is. Ramp,2,3,,
2001,3,31,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",15,24,,
2001,3,31,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",4,6,,
2001,3,31,NA,9,1151,Norton Street (Everett) Ramp,2,4,,
2001,3,31,NA,81,1151,Norton Street (Everett) Ramp,1,2,,
2001,3,31,NA,82,1151,Norton Street (Everett) Ramp,28,63,,
2001,3,31,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",20,38,,
2001,3,31,NA,7,1268,Washington Park Launch Ramp,12,19,,
2001,3,31,NA,13,1279,Zittels Marina,1,1,,
2001,4,1,NA,7,1013,Bellingham Ramp (Glenn St.),13,28,,
2001,4,1,NA,6,1041,Coronet Bay Public Ramp,1,2,,
2001,4,1,NA,7,1041,Coronet Bay Public Ramp,4,9,,
2001,4,1,NA,81,1041,Coronet Bay Public Ramp,4,11,,
2001,4,1,NA,9,1151,Norton Street (Everett) Ramp,6,13,,
2001,4,1,NA,81,1151,Norton Street (Everett) Ramp,1,2,,
2001,4,1,NA,82,1151,Norton Street (Everett) Ramp,38,87,,
2001,4,1,NA,11,1174,Point Defiance Public Ramp,29,51,,
2001,4,1,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",3,4,,
2001,4,1,NA,9,1192,Port Townsend Boat Haven Ramp,11,25,,
