"","md_date","observed_year","fishery_status","sighting"
"405","09/10",2018,FALSE,"no"
"406","09/10",2019,FALSE,"no"
"407","09/10",2020,FALSE,"yes"
"408","09/10",2021,FALSE,"no"
"409","09/10",2022,FALSE,"no"
"410","09/10",2023,TRUE,"yes"
"411","09/11",2014,TRUE,"yes"
"412","09/11",2015,FALSE,"yes"
"413","09/11",2016,FALSE,"yes"
"414","09/11",2017,TRUE,"yes"
"415","09/11",2018,FALSE,"yes"
"416","09/11",2019,FALSE,"no"
"417","09/11",2020,FALSE,"yes"
"418","09/11",2021,TRUE,"yes"
"419","09/11",2022,FALSE,"yes"
"420","09/11",2023,TRUE,"yes"
"421","09/12",2014,TRUE,"no"
"422","09/12",2015,FALSE,"yes"
"423","09/12",2016,FALSE,"no"
"424","09/12",2017,TRUE,"yes"
"425","09/12",2018,FALSE,"yes"
"426","09/12",2019,FALSE,"no"
"427","09/12",2020,FALSE,"yes"
"428","09/12",2021,TRUE,"yes"
"429","09/12",2022,FALSE,"no"
"430","09/12",2023,TRUE,"no"
"431","09/13",2014,TRUE,"yes"
"432","09/13",2015,FALSE,"yes"
"433","09/13",2016,FALSE,"yes"
"434","09/13",2017,FALSE,"yes"
"435","09/13",2018,FALSE,"yes"
"436","09/13",2019,TRUE,"no"
"437","09/13",2020,FALSE,"yes"
"438","09/13",2021,FALSE,"no"
"439","09/13",2022,FALSE,"no"
"440","09/13",2023,TRUE,"no"
"441","09/14",2014,TRUE,"yes"
"442","09/14",2015,FALSE,"yes"
"443","09/14",2016,FALSE,"yes"
"444","09/14",2017,FALSE,"no"
"445","09/14",2018,FALSE,"yes"
"446","09/14",2019,TRUE,"no"
"447","09/14",2020,FALSE,"no"
"448","09/14",2021,FALSE,"yes"
"449","09/14",2022,FALSE,"no"
"450","09/14",2023,FALSE,"yes"
"451","09/15",2014,TRUE,"yes"
"452","09/15",2015,FALSE,"yes"
"453","09/15",2016,FALSE,"yes"
"454","09/15",2017,FALSE,"yes"
"455","09/15",2018,FALSE,"yes"
"456","09/15",2019,TRUE,"no"
"457","09/15",2020,FALSE,"no"
"458","09/15",2021,FALSE,"yes"
"459","09/15",2022,FALSE,"no"
"460","09/15",2023,FALSE,"no"
"461","09/16",2014,TRUE,"yes"
"462","09/16",2015,FALSE,"yes"
"463","09/16",2016,FALSE,"yes"
"464","09/16",2017,FALSE,"no"
"465","09/16",2018,FALSE,"yes"
"466","09/16",2019,TRUE,"no"
"467","09/16",2020,FALSE,"no"
"468","09/16",2021,FALSE,"no"
"469","09/16",2022,FALSE,"no"
"470","09/16",2023,FALSE,"no"
"471","09/17",2014,TRUE,"yes"
"472","09/17",2015,FALSE,"yes"
"473","09/17",2016,FALSE,"no"
"474","09/17",2017,FALSE,"no"
"475","09/17",2018,FALSE,"yes"
"476","09/17",2019,FALSE,"no"
"477","09/17",2020,FALSE,"no"
"478","09/17",2021,FALSE,"yes"
"479","09/17",2022,FALSE,"no"
"480","09/17",2023,FALSE,"yes"
"481","09/18",2014,TRUE,"yes"
"482","09/18",2015,FALSE,"yes"
"483","09/18",2016,FALSE,"yes"
"484","09/18",2017,FALSE,"no"
"485","09/18",2018,FALSE,"yes"
"486","09/18",2019,FALSE,"no"
"487","09/18",2020,FALSE,"yes"
"488","09/18",2021,FALSE,"yes"
"489","09/18",2022,FALSE,"no"
"490","09/18",2023,FALSE,"yes"
"491","09/19",2014,TRUE,"yes"
"492","09/19",2015,FALSE,"no"
"493","09/19",2016,FALSE,"yes"
"494","09/19",2017,FALSE,"yes"
"495","09/19",2018,FALSE,"yes"
"496","09/19",2019,FALSE,"no"
"497","09/19",2020,FALSE,"yes"
"498","09/19",2021,FALSE,"yes"
"499","09/19",2022,FALSE,"no"
"500","09/19",2023,FALSE,"no"
"501","09/20",2014,TRUE,"yes"
"502","09/20",2015,FALSE,"yes"
"503","09/20",2016,FALSE,"yes"
"504","09/20",2017,FALSE,"yes"
"505","09/20",2018,FALSE,"yes"
"506","09/20",2019,FALSE,"no"
"507","09/20",2020,FALSE,"no"
"508","09/20",2021,FALSE,"no"
"509","09/20",2022,FALSE,"no"
"510","09/20",2023,FALSE,"no"
"511","09/21",2014,FALSE,"yes"
"512","09/21",2015,FALSE,"no"
"513","09/21",2016,FALSE,"yes"
"514","09/21",2017,FALSE,"yes"
"515","09/21",2018,FALSE,"yes"
"516","09/21",2019,FALSE,"yes"
"517","09/21",2020,FALSE,"no"
"518","09/21",2021,FALSE,"no"
"519","09/21",2022,FALSE,"no"
"520","09/21",2023,FALSE,"no"
"521","09/22",2014,FALSE,"yes"
"522","09/22",2015,FALSE,"yes"
"523","09/22",2016,FALSE,"yes"
"524","09/22",2017,FALSE,"yes"
"525","09/22",2018,FALSE,"no"
"526","09/22",2019,FALSE,"yes"
"527","09/22",2020,FALSE,"yes"
"528","09/22",2021,FALSE,"no"
"529","09/22",2022,FALSE,"no"
"530","09/22",2023,FALSE,"no"
"531","09/23",2014,FALSE,"yes"
"532","09/23",2015,FALSE,"yes"
"533","09/23",2016,FALSE,"no"
"534","09/23",2017,FALSE,"yes"
"535","09/23",2018,FALSE,"yes"
"536","09/23",2019,FALSE,"no"
"537","09/23",2020,FALSE,"no"
"538","09/23",2021,FALSE,"no"
"539","09/23",2022,FALSE,"no"
"540","09/23",2023,FALSE,"no"
"541","09/24",2014,TRUE,"yes"
"542","09/24",2015,FALSE,"yes"
"543","09/24",2016,FALSE,"no"
"544","09/24",2017,FALSE,"no"
"545","09/24",2018,FALSE,"yes"
"546","09/24",2019,FALSE,"yes"
"547","09/24",2020,FALSE,"yes"
"548","09/24",2021,FALSE,"no"
"549","09/24",2022,FALSE,"no"
"550","09/24",2023,FALSE,"no"
"551","09/25",2014,TRUE,"yes"
"552","09/25",2015,FALSE,"yes"
"553","09/25",2016,FALSE,"yes"
"554","09/25",2017,FALSE,"no"
"555","09/25",2018,FALSE,"yes"
"556","09/25",2019,FALSE,"yes"
"557","09/25",2020,FALSE,"no"
"558","09/25",2021,FALSE,"no"
"559","09/25",2022,FALSE,"no"
"560","09/25",2023,FALSE,"no"
"561","09/26",2014,TRUE,"yes"
"562","09/26",2015,FALSE,"yes"
"563","09/26",2016,FALSE,"yes"
"564","09/26",2017,FALSE,"yes"
"565","09/26",2018,FALSE,"yes"
"566","09/26",2019,FALSE,"yes"
"567","09/26",2020,FALSE,"no"
"568","09/26",2021,FALSE,"no"
"569","09/26",2022,FALSE,"no"
"570","09/26",2023,FALSE,"no"
"571","09/27",2014,TRUE,"yes"
"572","09/27",2015,FALSE,"yes"
"573","09/27",2016,FALSE,"yes"
"574","09/27",2017,FALSE,"yes"
"575","09/27",2018,FALSE,"yes"
"576","09/27",2019,FALSE,"yes"
"577","09/27",2020,FALSE,"yes"
"578","09/27",2021,FALSE,"no"
"579","09/27",2022,FALSE,"yes"
"580","09/27",2023,FALSE,"no"
"581","09/28",2014,FALSE,"yes"
"582","09/28",2015,FALSE,"yes"
"583","09/28",2016,FALSE,"yes"
"584","09/28",2017,FALSE,"no"
"585","09/28",2018,FALSE,"no"
"586","09/28",2019,FALSE,"no"
"587","09/28",2020,FALSE,"yes"
"588","09/28",2021,FALSE,"no"
"589","09/28",2022,FALSE,"yes"
"590","09/28",2023,FALSE,"no"
"591","09/29",2014,FALSE,"yes"
"592","09/29",2015,FALSE,"yes"
"593","09/29",2016,FALSE,"no"
"594","09/29",2017,FALSE,"yes"
"595","09/29",2018,FALSE,"no"
"596","09/29",2019,FALSE,"no"
"597","09/29",2020,FALSE,"no"
"598","09/29",2021,FALSE,"no"
"599","09/29",2022,FALSE,"no"
"600","09/29",2023,FALSE,"no"
"601","09/30",2014,FALSE,"yes"
"602","09/30",2015,FALSE,"yes"
"603","09/30",2016,FALSE,"no"
"604","09/30",2017,FALSE,"no"
"605","09/30",2018,FALSE,"no"
"606","09/30",2019,FALSE,"yes"
"607","09/30",2020,FALSE,"yes"
"608","09/30",2021,FALSE,"yes"
"609","09/30",2022,FALSE,"no"
"610","09/30",2023,FALSE,"no"
