Day,Date,Year,Time UTC,Time PST,Latitude,Longitude,Latitude,Longitude,Accuracy,Location,select_direction,select_distance,quad_number,vessel,action,kayak_num,incidents,ODK conversion,select_previous,select_photo,whaleinfoYN,SPP data,whaleinfoY_whaleID,whaleinfoY_Idphoto,whaleinfoY_behavior,whaleinfoY_behaviorchange,Initials,Comments
Sat,17-Jun,2017,22:07:13,15:07:13,48.42615667,-123.01303,"48° 25' 34.16"" N","123° 00' 46.90"" W",4.9,Salmon bank,SW,0.75,241,MM,WO,,200_yards_under_power,200 yards under power,contact_no,photo_n,,SRKW,L pod,photo_n,,,,SW
Sat,17-Jun,2017,22:09:28,15:09:28,48.42599833,-123.0129367,"48° 25' 33.59"" N","123° 00' 46.57"" W",4.7,Salmon bank,SW,0.75,241,R,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_n,,SRKW,L pod,photo_n,,,,
Sat,17-Jun,2017,22:09:28,15:09:28,48.42599833,-123.0129367,"48° 25' 33.59"" N","123° 00' 46.57"" W",4.7,Salmon bank,SW,0.75,241,R,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,L pod,photo_n,,,,
Sat,17-Jun,2017,22:09:28,15:09:28,48.42599833,-123.0129367,"48° 25' 33.59"" N","123° 00' 46.57"" W",4.7,Salmon bank,SW,0.75,241,R,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,L pod,photo_n,,,,
Sun,25-Jun,2017,22:09:50,15:09:50,48.57671833,-123.1820933,"48° 34' 36.18"" N","123° 10' 55.53"" W",4.9,Open bay,,0,176,PM,T,,fast_departurewithin400yds,fast departurewithin400yds,contact_no,photo_n,,SRKW,Res j & k14,photo_n,,,CIJ,
Sun,25-Jun,2017,22:43:11,15:43:11,48.54496667,-123.1754017,"48° 32' 41.88"" N","123° 10' 31.44"" W",4.8,Sj county park,W,0.5,176,PM,WO,,inshore_of_whales ,inshore of whales ,contact_no,photo_n,,SRKW,Res j & k14,photo_n,,,CIJ,
Sun,25-Jun,2017,22:43:11,15:43:11,48.54496667,-123.1754017,"48° 32' 41.88"" N","123° 10' 31.44"" W",4.8,Sj county park,W,0.5,176,PM,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,Res j & k14,photo_n,,,CIJ,
Sun,25-Jun,2017,22:43:11,15:43:11,48.54496667,-123.1754017,"48° 32' 41.88"" N","123° 10' 31.44"" W",4.8,Sj county park,W,0.5,176,PM,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,Res j & k14,photo_n,,,CIJ,
Sun,25-Jun,2017,22:43:11,15:43:11,48.54496667,-123.1754017,"48° 32' 41.88"" N","123° 10' 31.44"" W",4.8,Sj county park,W,0.5,176,PM,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,Res j & k14,photo_n,,,CIJ,
Sun,25-Jun,2017,17:40:02,10:40:02,48.58857833,-123.2061583,"48° 35' 18.88"" N","123° 12' 22.16"" W",4.7,Kellet bluff. Henry,WNW,0.5,169,PM,T,0,inshore_of_whales ,inshore of whales ,contact_no,photo_n,,SRKW,K and j?,photo_n,,,,Came in at high speed drovevoff high speed
Sun,25-Jun,2017,17:40:02,10:40:02,48.58857833,-123.2061583,"48° 35' 18.88"" N","123° 12' 22.16"" W",4.7,Kellet bluff. Henry,WNW,0.5,169,PM,T,0,withineighthmile_shore,withineighthmile shore,contact_no,photo_n,,SRKW,K and j?,photo_n,,,,Came in at high speed drovevoff high speed
Sun,25-Jun,2017,18:34:00,11:34:00,48.55988667,-123.182655,"48° 33' 35.59"" N","123° 10' 57.55"" W",4.9,Andrews bay,E,0.25,176,PM,WO,0,inshore_of_whales,inshore of whales,contact_no,photo_y,,SRKW,Bc1092025,photo_n,,,,
Sun,25-Jun,2017,18:39:02,11:39:02,48.55266667,-123.1748767,"48° 33' 09.60"" N","123° 10' 29.55"" W",4.5,Andrews bay,E,0.25,176,MM,WO,0,100_yards_under_power,100 yards under power,contact_yes,photo_n,,SRKW,K14,photo_n,,,,Sound watch on way to boater
Sun,25-Jun,2017,18:47:56,11:47:56,48.534555,-123.1706417,"48° 32' 04.39"" N","123° 10' 14.31"" W",4.4,,SE,0,,PM,WO,0,inshore_of_whales ,inshore of whales ,contact_no,photo_n,,SRKW,,,,,,Wa7155sr thunder jet boat
Sun,25-Jun,2017,18:47:56,11:47:56,48.534555,-123.1706417,"48° 32' 04.39"" N","123° 10' 14.31"" W",4.4,,SE,0,,PM,WO,0,400yd_inthepath,400yd inthepath,contact_no,photo_n,,SRKW,,,,,,Wa7155sr thunder jet boat
Sun,25-Jun,2017,19:05:16,12:05:16,48.49749167,-123.1516733,"48° 29' 50.97"" N","123° 09' 06.02"" W",4.2,Lkp,E,0,176,PK,WO,2,inshore_of_whales ,inshore of whales ,contact_no,photo_n,,SRKW,K,photo_n,,,,Too close in paddling to whales
Sun,25-Jun,2017,19:05:16,12:05:16,48.49749167,-123.1516733,"48° 29' 50.97"" N","123° 09' 06.02"" W",4.2,Lkp,E,0,176,PK,WO,2,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,K,photo_n,,,,Too close in paddling to whales
Sun,25-Jun,2017,19:05:16,12:05:16,48.49749167,-123.1516733,"48° 29' 50.97"" N","123° 09' 06.02"" W",4.2,Lkp,E,0,176,PK,WO,2,paddle_whale no_go_zone,paddle whale,contact_no,photo_n,,SRKW,K,photo_n,,,,Too close in paddling to whales
,,,,,,,,,,,,,,,,,,no go zone,,,,,,,,,,
Sun,25-Jun,2017,19:05:16,12:05:16,48.49749167,-123.1516733,"48° 29' 50.97"" N","123° 09' 06.02"" W",4.2,Lkp,E,0,176,PK,WO,2,no_go_zone,no go zone,contact_no,photo_n,,SRKW,K,photo_n,,,,Too close in paddling to whales
Sun,25-Jun,2017,19:33:10,12:33:10,48.47655833,-123.1003633,"48° 28' 35.60"" N","123° 06' 01.30"" W",5,False bay,W,0.75,184,EC,WO,0,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,K,photo_n,,,,Wild whale adventure  Queen?
Sun,25-Jun,2017,19:33:10,12:33:10,48.47655833,-123.1003633,"48° 28' 35.60"" N","123° 06' 01.30"" W",5,False bay,W,0.75,184,EC,WO,0,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,SRKW,K,photo_n,,,,Wild whale adventure  Queen?
Sun,25-Jun,2017,19:49:46,12:49:46,48.45892667,-123.0698733,"48° 27' 32.13"" N","123° 04' 11.54"" W",4.9,,S,0.5,,PM,WO,,200_yards_under_power,200 yards under power,contact_yes,,,SRKW,K,photo_n,,,,"Cont erratic driving, asked to shut down"
Sun,25-Jun,2017,19:49:46,12:49:46,48.45892667,-123.0698733,"48° 27' 32.13"" N","123° 04' 11.54"" W",4.9,,S,0.5,,PM,WO,,100_yards_under_power ,100 yards under power ,contact_yes,,,SRKW,K,photo_n,,,,"Cont erratic driving, asked to shut down"
Sun,25-Jun,2017,19:49:46,12:49:46,48.45892667,-123.0698733,"48° 27' 32.13"" N","123° 04' 11.54"" W",4.9,,S,0.5,,PM,WO,,400yd_inthepath,400yd inthepath,contact_yes,,,SRKW,K,photo_n,,,,"Cont erratic driving, asked to shut down"
Sun,25-Jun,2017,20:06:03,13:06:03,48.45577667,-123.067465,"48° 27' 20.79"" N","123° 04' 02.87"" W",4.4,False bay,S,0.5,184,MM,WO,0,400yd_inthepath ,400yd inthepath ,contact_yes,photo_n,,SRKW,K. Female w calf,photo_n,,,,"Soundwatch Three incidents as they passed  within 15 yards, engine offa@@@~"
Sun,25-Jun,2017,20:06:03,13:06:03,48.45577667,-123.067465,"48° 27' 20.79"" N","123° 04' 02.87"" W",4.4,False bay,S,0.5,184,MM,WO,0,shutdown_within100yds,shutdown within100yds,contact_yes,photo_n,,SRKW,K. Female w calf,photo_n,,,,"Soundwatch Three incidents as they passed  within 15 yards, engine offa@@@~"
Sun,25-Jun,2017,21:59:50,14:59:50,48.57451833,-123.1828833,"48° 34' 28.26"" N","123° 10' 58.37"" W",4.4,Open bay,W,1,181,PM,WO,0,inshore_of_whales ,inshore of whales ,contact_yes,photo_n,,SRKW,K and j,photo_n,,,,
Sun,25-Jun,2017,21:59:50,14:59:50,48.57451833,-123.1828833,"48° 34' 28.26"" N","123° 10' 58.37"" W",4.4,Open bay,W,1,181,PM,WO,0,400yd_inthepath ,400yd inthepath ,contact_yes,photo_n,,SRKW,K and j,photo_n,,,,
Sun,25-Jun,2017,21:59:50,14:59:50,48.57451833,-123.1828833,"48° 34' 28.26"" N","123° 10' 58.37"" W",4.4,Open bay,W,1,181,PM,WO,0,shutdown_within100yds,shutdown within100yds,contact_yes,photo_n,,SRKW,K and j,photo_n,,,,
Sun,25-Jun,2017,22:35:14,15:35:14,48.55144333,-123.1793917,"48° 33' 05.19"" N","123° 10' 45.81"" W",4.3,County park,W,0.25,181,EC,WO,0,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,SRKW,J and k,photo_n,,,,"3 incidents, Kodiak"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"1 ca  eco
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"sea quest
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"explorathor
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"double 8 2
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"1 ca  eco
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"sea quest
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"explorathor
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"double 8 2
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"1 ca  eco
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"sea quest
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"explorathor
Whales moved offshore"
Mon,26-Jun,2017,18:37:25,11:37:25,48.45211667,-123.0362567,"48° 27' 07.62"" N","123° 02' 10.52"" W",4.9,Eagle cove,W,0.25,185,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"double 8 2
Whales moved offshore"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EC,WO,,200_yards_under_power ,200 yards under power ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
4 ever wild "
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EC,WO,,200_yards_under_power ,200 yards under power ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
orca spirit"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EU,WO,,200_yards_under_power ,200 yards under power ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
J1"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EU,WO,,200_yards_under_power ,200 yards under power ,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
IE 4"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EC,WO,,100_yards_under_power,100 yards under power,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
4 ever wild"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EC,WO,,100_yards_under_power,100 yards under power,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
orca spirit"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EU,WO,,100_yards_under_power,100 yards under power,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
J1"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EU,WO,,100_yards_under_power,100 yards under power,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
IE 4"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EC,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
4 ever wild "
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EC,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
orca spirit"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EU,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
J1"
Mon,26-Jun,2017,18:40:57,11:40:57,48.45275333,-123.039025,"48° 27' 09.91"" N","123° 02' 20.48"" W",4.6,Eagle cove,W,0.25,185,EU,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_n,,SRKW,J pod,photo_n,,,,"Animals suddenly moved offshore.
IE 4"
Mon,26-Jun,2017,19:11:28,12:11:28,48.45876167,-123.0602833,"48° 27' 31.54"" N","123° 03' 37.01"" W",4.6,False bay,SW,1,185,EU,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,J,photo_n,,,,4 ever wild whale slowly traveled through fleet
Mon,26-Jun,2017,19:11:28,12:11:28,48.45876167,-123.0602833,"48° 27' 31.54"" N","123° 03' 37.01"" W",4.6,False bay,SW,1,185,EU,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,J,photo_n,,,,4 ever wild whale slowly traveled through fleet
Mon,26-Jun,2017,19:11:28,12:11:28,48.45876167,-123.0602833,"48° 27' 31.54"" N","123° 03' 37.01"" W",4.6,False bay,SW,1,185,EU,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,J,photo_n,,,,4 ever wild whale slowly traveled through fleet
Mon,26-Jun,2017,18:35:18,11:35:18,48.451945,-123.0353883,"48° 27' 07.00"" N","123° 02' 07.39"" W",6.5,Eagle covw,W,1,185,PM,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,Whales approached during contact sound watch and good on ya from seattle
Mon,26-Jun,2017,18:35:18,11:35:18,48.451945,-123.0353883,"48° 27' 07.00"" N","123° 02' 07.39"" W",6.5,Eagle covw,W,1,185,PM,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,Whales approached during contact sound watch and good on ya from seattle
Mon,26-Jun,2017,19:03:51,12:03:51,48.46010833,-123.061425,"48° 27' 36.38"" N","123° 03' 41.12"" W",5,False bay,W,1.75,184,MM,WO,,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,"Going 2 knots 2 whales resting? Popped up, SW"
Mon,26-Jun,2017,19:03:51,12:03:51,48.46010833,-123.061425,"48° 27' 36.38"" N","123° 03' 41.12"" W",5,False bay,W,1.75,184,MM,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,"Going 2 knots 2 whales resting? Popped up, SW"
Mon,26-Jun,2017,19:09:34,12:09:34,48.45881333,-123.059875,"48° 27' 31.72"" N","123° 03' 35.55"" W",5.7,False bay,SW,1.5,184,PS,WO,,200_yards_under_power ,200 yards under power ,contact_no,photo_n,,SRKW,Jood,photo_n,,,,Boat positioned in path of group whales meeting after contact with lucybjane
Mon,26-Jun,2017,19:09:34,12:09:34,48.45881333,-123.059875,"48° 27' 31.72"" N","123° 03' 35.55"" W",5.7,False bay,SW,1.5,184,PS,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_n,,SRKW,Jood,photo_n,,,,Boat positioned in path of group whales meeting after contact with lucybjane
Mon,26-Jun,2017,19:16:38,12:16:38,48.45874833,-123.0601083,"48° 27' 31.49"" N","123° 03' 36.38"" W",9.5,Flasr bay,SW,1.5,184,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,Seaquest announced shut down in radii
Mon,26-Jun,2017,19:16:38,12:16:38,48.45874833,-123.0601083,"48° 27' 31.49"" N","123° 03' 36.38"" W",9.5,Flasr bay,SW,1.5,184,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,Seaquest announced shut down in radii
Mon,26-Jun,2017,19:43:43,12:43:43,48.46129833,-123.0660833,"48° 27' 40.67"" N","123° 03' 57.89"" W",4.5,False bay,SW,1,184,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,Tikka
Mon,26-Jun,2017,19:43:43,12:43:43,48.46129833,-123.0660833,"48° 27' 40.67"" N","123° 03' 57.89"" W",4.5,False bay,SW,1,184,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,Jpod,photo_n,,,,Tikka
Thu,29-Jun,2017,18:54:59,11:54:59,48.47758333,-123.1072433,"48° 28' 39.29"" N","123° 06' 26.07"" W",4.6,False bay,N,0.5,181,EC,WO,,inshore_of_whales,inshore of whales,contact_no,photo_y,,SRKW,Res j&k pod,photo_n,,,CIJ,"Kodiak 
First seen inshore and inpath of whales then repositioned and put self in path of whales."
Thu,29-Jun,2017,18:54:59,11:54:59,48.47758333,-123.1072433,"48° 28' 39.29"" N","123° 06' 26.07"" W",4.6,False bay,N,0.5,181,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_y,,SRKW,Res j&k pod,photo_n,,,CIJ,"Kodiak 
First seen inshore and inpath of whales then repositioned and put self in path of whales."
Thu,29-Jun,2017,18:54:59,11:54:59,48.47758333,-123.1072433,"48° 28' 39.29"" N","123° 06' 26.07"" W",4.6,False bay,N,0.5,181,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_y,,SRKW,Res j&k pod,photo_n,,,CIJ,"Kodiak 
First seen inshore and inpath of whales then repositioned and put self in path of whales."
Thu,29-Jun,2017,18:54:59,11:54:59,48.47758333,-123.1072433,"48° 28' 39.29"" N","123° 06' 26.07"" W",4.6,False bay,N,0.5,181,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_y,,SRKW,Res j&k pod,photo_n,,,CIJ,"Kodiak 
First seen inshore and inpath of whales then repositioned and put self in path of whales."
Thu,29-Jun,2017,19:05:59,12:05:59,48.47260167,-123.0947533,"48° 28' 21.36"" N","123° 05' 41.11"" W",4.1,False bay,W,0.25,181,EC,WO,,inshore_of_whales,inshore of whales,contact_no,photo_y,,SRKW,Res J & k,photo_n,,,CIJ,BC luna
Thu,29-Jun,2017,19:45:24,12:45:24,48.46798167,-123.0902367,"48° 28' 04.73"" N","123° 05' 24.85"" W",4.7,False bay,W,0.25,181,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_y,,SRKW,Res j & k pod,photo_n,,,CIJ,"BC Luna 
2nd incident  today put self in path"
Thu,29-Jun,2017,19:45:24,12:45:24,48.46798167,-123.0902367,"48° 28' 04.73"" N","123° 05' 24.85"" W",4.7,False bay,W,0.25,181,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_y,,SRKW,Res j & k pod,photo_n,,,CIJ,"BC Luna 
2nd incident  today put self in path"
Thu,29-Jun,2017,19:45:24,12:45:24,48.46798167,-123.0902367,"48° 28' 04.73"" N","123° 05' 24.85"" W",4.7,False bay,W,0.25,181,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_y,,SRKW,Res j & k pod,photo_n,,,CIJ,"BC Luna 
2nd incident  today put self in path"
Thu,29-Jun,2017,20:20:54,13:20:54,48.43953167,-123.015685,"48° 26' 22.31"" N","123° 00' 56.46"" W",4.6,South beach,SW,0.5,185,CA,T,,aircraft_under1000ft,aircraft under1000ft,contact_no,photo_y,,SRKW,J & k pod,photo_n,,,CIJ,Scoped at 337yds circled 3 times
Thu,29-Jun,2017,21:51:45,14:51:45,48.47722333,-123.1004767,"48° 28' 38.00"" N","123° 06' 01.71"" W",5,Kanauka bay,SW,0.25,184,EC,WO,,inshore_of_whales ,inshore of whales ,contact_no,photo_y,,SRKW,J & k pod,photo_n,,,CIJ,Gold wing
Thu,29-Jun,2017,21:51:45,14:51:45,48.47722333,-123.1004767,"48° 28' 38.00"" N","123° 06' 01.71"" W",5,Kanauka bay,SW,0.25,184,EC,WO,,400yd_inthepath ,400yd inthepath ,contact_no,photo_y,,SRKW,J & k pod,photo_n,,,CIJ,Gold wing
Thu,29-Jun,2017,21:51:45,14:51:45,48.47722333,-123.1004767,"48° 28' 38.00"" N","123° 06' 01.71"" W",5,Kanauka bay,SW,0.25,184,EC,WO,,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_y,,SRKW,J & k pod,photo_n,,,CIJ,Gold wing
