start,end,today,Lat_A,Lat_edit,Longitude,Longitude,datetime,Location,direction,distance,quad_number,vessel,action,incidents,ODK conversion,select_previous,select_photo,Comments,meta:instanceID
Fri Aug 05 19:07:27 UTC 2016,Fri Aug 05 19:08:12 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.79955833,48.79955833,-122.9760367,-122.9760367,Fri Aug 05 19:07:00 UTC 2016,Patos,W,0.25,142,EC,WO,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,uuid:c62f00a4-466c-4973-8369-5f940daf6cb2
Fri Aug 05 19:07:27 UTC 2016,Fri Aug 05 19:08:12 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.79955833,48.79955833,-122.9760367,-122.9760367,Fri Aug 05 19:07:00 UTC 2016,Patos,W,0.25,142,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:c62f00a4-466c-4973-8369-5f940daf6cb2
Fri Aug 05 19:09:29 UTC 2016,Fri Aug 05 19:09:59 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.796855,48.796855,-122.9794417,-122.9794417,Fri Aug 05 19:09:00 UTC 2016,Patos,NW,0.25,142,EC,WO,high_speed_within_400,high speed within 400,contact_no,photo_n,,uuid:362bdf76-9885-48d3-9f08-2573b934269f
Fri Aug 05 19:15:57 UTC 2016,Fri Aug 05 19:16:35 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.78691667,48.78691667,-122.99137,-122.99137,Fri Aug 05 19:16:00 UTC 2016,Patos,SW,0,142,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,uuid:d2a85cb2-c567-40a0-abd5-5f41c49c3f10
Fri Aug 05 19:15:57 UTC 2016,Fri Aug 05 19:16:35 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.78691667,48.78691667,-122.99137,-122.99137,Fri Aug 05 19:16:00 UTC 2016,Patos,SW,0,142,EC,WO,200_yards_under_power,200 yards under power,contact_no,photo_n,,uuid:d2a85cb2-c567-40a0-abd5-5f41c49c3f10
Fri Aug 05 19:15:57 UTC 2016,Fri Aug 05 19:16:35 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.78691667,48.78691667,-122.99137,-122.99137,Fri Aug 05 19:16:00 UTC 2016,Patos,SW,0,142,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:d2a85cb2-c567-40a0-abd5-5f41c49c3f10
Fri Aug 05 20:13:15 UTC 2016,Fri Aug 05 20:13:56 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.76266833,48.76266833,-123.09777,-123.09777,Fri Aug 05 20:13:00 UTC 2016,Monarch head,SE,0.5,152,EC,WO,incorrectfast_approach,incorrectfast approach,contact_no,photo_n,,uuid:9c4d8c48-54ee-4d45-8592-4ece7a48a5ce
Fri Aug 05 20:40:32 UTC 2016,Fri Aug 05 20:41:46 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.74209333,48.74209333,-123.14535,-123.14535,Fri Aug 05 20:40:00 UTC 2016,Blunden,SE,0.75,153,EC,WO,200_yards_under_power,200 yards under power,contact_no,photo_y,,uuid:22e61b32-2131-4fd3-a616-a2ace2ad618c
Fri Aug 05 20:40:32 UTC 2016,Fri Aug 05 20:41:46 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.74209333,48.74209333,-123.14535,-123.14535,Fri Aug 05 20:40:00 UTC 2016,Blunden,SE,0.75,153,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_y,,uuid:22e61b32-2131-4fd3-a616-a2ace2ad618c
Fri Aug 05 20:40:32 UTC 2016,Fri Aug 05 20:41:46 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.74209333,48.74209333,-123.14535,-123.14535,Fri Aug 05 20:40:00 UTC 2016,Blunden,SE,0.75,153,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_y,,uuid:22e61b32-2131-4fd3-a616-a2ace2ad618c
Fri Aug 05 20:41:52 UTC 2016,Fri Aug 05 20:42:47 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.74187667,48.74187667,-123.147995,-123.147995,Fri Aug 05 20:41:00 UTC 2016,Blunden,SE,0.75,153,EC,WO,200_yards_under_power,200 yards under power,contact_no,photo_y,,uuid:fdbcae2a-f84c-435c-adbc-997fc9efc38e
Fri Aug 05 20:41:52 UTC 2016,Fri Aug 05 20:42:47 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.74187667,48.74187667,-123.147995,-123.147995,Fri Aug 05 20:41:00 UTC 2016,Blunden,SE,0.75,153,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_y,,uuid:fdbcae2a-f84c-435c-adbc-997fc9efc38e
Fri Aug 05 20:41:52 UTC 2016,Fri Aug 05 20:42:47 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.74187667,48.74187667,-123.147995,-123.147995,Fri Aug 05 20:41:00 UTC 2016,Blunden,SE,0.75,153,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_y,,uuid:fdbcae2a-f84c-435c-adbc-997fc9efc38e
Fri Aug 05 22:16:13 UTC 2016,Fri Aug 05 22:16:40 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.69051,48.69051,-123.2438567,-123.2438567,Fri Aug 05 22:16:00 UTC 2016,Turn pt,W,0.5,163,EC,T,high_speed_within_400,high speed within 400,contact_no,photo_n,,uuid:cb8a4513-9931-4ed3-9725-304e17c5985a
Fri Aug 12 19:10:30 UTC 2016,Fri Aug 12 19:11:41 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.53817333,48.53817333,-123.16667,-123.16667,Fri Aug 12 19:10:00 UTC 2016,Smugglers cove,W,0.25,176,EC,WO,400yd_inthepath,400yd inthepath,contact_no,photo_n,,uuid:0fa4c51c-8d4d-4a8b-9cdd-539869ec9f70
Fri Aug 12 19:10:30 UTC 2016,Fri Aug 12 19:11:41 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.53817333,48.53817333,-123.16667,-123.16667,Fri Aug 12 19:10:00 UTC 2016,Smugglers cove,W,0.25,176,EC,WO,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,uuid:0fa4c51c-8d4d-4a8b-9cdd-539869ec9f70
Fri Aug 12 19:10:30 UTC 2016,Fri Aug 12 19:11:41 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.53817333,48.53817333,-123.16667,-123.16667,Fri Aug 12 19:10:00 UTC 2016,Smugglers cove,W,0.25,176,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:0fa4c51c-8d4d-4a8b-9cdd-539869ec9f70
Fri Aug 12 19:35:07 UTC 2016,Fri Aug 12 19:36:29 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.576155,48.576155,-123.1956667,-123.1956667,Fri Aug 12 19:35:00 UTC 2016,Kellet,S,0.25,176,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:9674c53d-20ba-4206-a0b5-9a56bbc4abd6
Fri Aug 12 19:35:07 UTC 2016,Fri Aug 12 19:36:29 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.576155,48.576155,-123.1956667,-123.1956667,Fri Aug 12 19:35:00 UTC 2016,Kellet,S,0.25,176,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:9674c53d-20ba-4206-a0b5-9a56bbc4abd6
Fri Aug 12 19:36:32 UTC 2016,Fri Aug 12 19:37:46 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.57883333,48.57883333,-123.2003117,-123.2003117,Fri Aug 12 19:36:00 UTC 2016,Kellet,S,0.25,176,EC,WO,400yd_inthepath,400yd inthepath,contact_no,photo_n,,uuid:59e1c52b-6e98-42e6-9f5a-11870bd9c754
Fri Aug 12 19:36:32 UTC 2016,Fri Aug 12 19:37:46 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.57883333,48.57883333,-123.2003117,-123.2003117,Fri Aug 12 19:36:00 UTC 2016,Kellet,S,0.25,176,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:59e1c52b-6e98-42e6-9f5a-11870bd9c754
Fri Aug 12 21:38:58 UTC 2016,Fri Aug 12 21:42:23 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73451667,48.73451667,-123.1759983,-123.1759983,Fri Aug 12 21:39:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_y,,uuid:a76a08af-8c02-48ee-b89b-d052499654a5
Fri Aug 12 21:38:58 UTC 2016,Fri Aug 12 21:42:23 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73451667,48.73451667,-123.1759983,-123.1759983,Fri Aug 12 21:39:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_y,,uuid:a76a08af-8c02-48ee-b89b-d052499654a5
Fri Aug 12 21:38:58 UTC 2016,Fri Aug 12 21:42:23 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73451667,48.73451667,-123.1759983,-123.1759983,Fri Aug 12 21:39:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_y,,uuid:a76a08af-8c02-48ee-b89b-d052499654a5
Fri Aug 12 21:40:26 UTC 2016,Fri Aug 12 21:41:10 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73521667,48.73521667,-123.1772267,-123.1772267,Fri Aug 12 21:40:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_y,,uuid:b2ae1fb0-ad81-471f-971b-75eb7f329259
Fri Aug 12 21:40:26 UTC 2016,Fri Aug 12 21:41:10 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73521667,48.73521667,-123.1772267,-123.1772267,Fri Aug 12 21:40:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_y,,uuid:b2ae1fb0-ad81-471f-971b-75eb7f329259
Fri Aug 12 21:40:26 UTC 2016,Fri Aug 12 21:41:10 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73521667,48.73521667,-123.1772267,-123.1772267,Fri Aug 12 21:40:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_y,,uuid:b2ae1fb0-ad81-471f-971b-75eb7f329259
Fri Aug 12 21:41:14 UTC 2016,Fri Aug 12 21:42:07 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73651667,48.73651667,-123.17784,-123.17784,Fri Aug 12 21:41:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,400yd_inthepath,400yd inthepath,contact_no,photo_y,,uuid:b1b2b730-74aa-46e7-91bc-d0e0f41be677
Fri Aug 12 21:41:14 UTC 2016,Fri Aug 12 21:42:07 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73651667,48.73651667,-123.17784,-123.17784,Fri Aug 12 21:41:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_y,,uuid:b1b2b730-74aa-46e7-91bc-d0e0f41be677
Fri Aug 12 21:41:14 UTC 2016,Fri Aug 12 21:42:07 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.73651667,48.73651667,-123.17784,-123.17784,Fri Aug 12 21:41:00 UTC 2016,Blunden is,SE,0.25,154,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_y,,uuid:b1b2b730-74aa-46e7-91bc-d0e0f41be677
Fri Aug 12 21:51:58 UTC 2016,Fri Aug 12 21:53:35 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.74094833,48.74094833,-123.155245,-123.155245,Fri Aug 12 21:52:00 UTC 2016,Blunden is,NE,0.25,153,EC,WO,200_yards_under_power ,200 yards under power ,contact_no,photo_y,,uuid:2b628910-6dcf-4710-81f2-c4c445a6ab99
Fri Aug 12 21:51:58 UTC 2016,Fri Aug 12 21:53:35 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.74094833,48.74094833,-123.155245,-123.155245,Fri Aug 12 21:52:00 UTC 2016,Blunden is,NE,0.25,153,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_y,,uuid:2b628910-6dcf-4710-81f2-c4c445a6ab99
Fri Aug 12 21:51:58 UTC 2016,Fri Aug 12 21:53:35 UTC 2016,Fri Aug 12 00:00:00 UTC 2016,48.74094833,48.74094833,-123.155245,-123.155245,Fri Aug 12 21:52:00 UTC 2016,Blunden is,NE,0.25,153,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_y,,uuid:2b628910-6dcf-4710-81f2-c4c445a6ab99
Fri Aug 26 18:06:40 UTC 2016,Fri Aug 26 18:08:35 UTC 2016,Fri Aug 26 00:00:00 UTC 2016,48.506625,48.506625,-123.1566933,-123.1566933,Fri Aug 26 18:06:00 UTC 2016,Lime kiln,SW,0.5,181,EC,WO,100_yards_under_power ,100 yards under power ,contact_no,photo_n,,uuid:a15f9052-1e1b-460d-9dd6-d510fb38e2a1
Fri Aug 26 18:06:40 UTC 2016,Fri Aug 26 18:08:35 UTC 2016,Fri Aug 26 00:00:00 UTC 2016,48.506625,48.506625,-123.1566933,-123.1566933,Fri Aug 26 18:06:00 UTC 2016,Lime kiln,SW,0.5,181,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:a15f9052-1e1b-460d-9dd6-d510fb38e2a1
Fri Aug 26 18:06:40 UTC 2016,Fri Aug 26 18:08:35 UTC 2016,Fri Aug 26 00:00:00 UTC 2016,48.506625,48.506625,-123.1566933,-123.1566933,Fri Aug 26 18:06:00 UTC 2016,Lime kiln,SW,0.5,181,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:a15f9052-1e1b-460d-9dd6-d510fb38e2a1
Fri Aug 26 18:12:09 UTC 2016,Fri Aug 26 18:13:07 UTC 2016,Fri Aug 26 00:00:00 UTC 2016,48.50243167,48.50243167,-123.1551967,-123.1551967,Fri Aug 26 18:12:00 UTC 2016,Lime kiln,SW,0.5,181,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_y,,uuid:b0717833-c121-4771-867d-1d47fed485e9
Fri Jul 08 23:06:20 UTC 2016,Fri Jul 08 23:08:18 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.46903167,48.46903167,-123.080075,-123.080075,Fri Jul 08 23:06:00 UTC 2016,False bay,S,0.5,184,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:1b6db70b-ee65-4c73-9244-54caee2f99a9
Fri Jul 08 23:06:20 UTC 2016,Fri Jul 08 23:08:18 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.46903167,48.46903167,-123.080075,-123.080075,Fri Jul 08 23:06:00 UTC 2016,False bay,S,0.5,184,EC,WO,shutdown_within100yds ,shutdown within100yds ,contact_no,photo_n,,uuid:1b6db70b-ee65-4c73-9244-54caee2f99a9
Fri Jul 08 23:06:20 UTC 2016,Fri Jul 08 23:08:18 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.46903167,48.46903167,-123.080075,-123.080075,Fri Jul 08 23:06:00 UTC 2016,False bay,S,0.5,184,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:1b6db70b-ee65-4c73-9244-54caee2f99a9
Fri Jul 08 23:07:20 UTC 2016,Fri Jul 08 23:08:04 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.46942,48.46942,-123.0807367,-123.0807367,Fri Jul 08 23:07:00 UTC 2016,False bay,S,0.5,184,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,uuid:d2aa0880-5750-4d44-9d3c-abcfeee0f9ea
Fri Jul 08 23:07:20 UTC 2016,Fri Jul 08 23:08:04 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.46942,48.46942,-123.0807367,-123.0807367,Fri Jul 08 23:07:00 UTC 2016,False bay,S,0.5,184,EC,WO,400yd_inthepath,400yd inthepath,contact_no,photo_n,,uuid:d2aa0880-5750-4d44-9d3c-abcfeee0f9ea
Fri Jul 08 23:07:20 UTC 2016,Fri Jul 08 23:08:04 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.46942,48.46942,-123.0807367,-123.0807367,Fri Jul 08 23:07:00 UTC 2016,False bay,S,0.5,184,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:d2aa0880-5750-4d44-9d3c-abcfeee0f9ea
Fri Jul 08 23:15:26 UTC 2016,Fri Jul 08 23:16:27 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.47618833,48.47618833,-123.093965,-123.093965,Fri Jul 08 23:15:00 UTC 2016,False bay,W,0.25,185,EC,WO,400yd_inthepath,400yd inthepath,contact_no,photo_n,,uuid:43e21696-3d38-4a27-9ce0-27b8ab279df6
Fri Jul 08 23:15:26 UTC 2016,Fri Jul 08 23:16:27 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.47618833,48.47618833,-123.093965,-123.093965,Fri Jul 08 23:15:00 UTC 2016,False bay,W,0.25,185,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:43e21696-3d38-4a27-9ce0-27b8ab279df6
Fri Jul 08 23:16:34 UTC 2016,Fri Jul 08 23:17:32 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.47706,48.47706,-123.095305,-123.095305,Fri Jul 08 23:16:00 UTC 2016,False bay,W,0.25,185,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:4b2087ca-01a2-4126-9500-46dad2e6fe31
Fri Jul 08 23:16:34 UTC 2016,Fri Jul 08 23:17:32 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.47706,48.47706,-123.095305,-123.095305,Fri Jul 08 23:16:00 UTC 2016,False bay,W,0.25,185,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:4b2087ca-01a2-4126-9500-46dad2e6fe31
Fri Jul 08 23:19:33 UTC 2016,Fri Jul 08 23:20:27 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.47825,48.47825,-123.0964517,-123.0964517,Fri Jul 08 23:19:00 UTC 2016,False bay,W,0.25,185,EC,WO,200_yards_under_power ,200 yards under power ,,photo_n,,uuid:c25c6643-18da-4722-9ada-2beb2fa9edc7
Fri Jul 08 23:19:33 UTC 2016,Fri Jul 08 23:20:27 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.47825,48.47825,-123.0964517,-123.0964517,Fri Jul 08 23:19:00 UTC 2016,False bay,W,0.25,185,EC,WO,400yd_inthepath ,400yd inthepath ,,photo_n,,uuid:c25c6643-18da-4722-9ada-2beb2fa9edc7
Fri Jul 08 23:19:33 UTC 2016,Fri Jul 08 23:20:27 UTC 2016,Fri Jul 08 00:00:00 UTC 2016,48.47825,48.47825,-123.0964517,-123.0964517,Fri Jul 08 23:19:00 UTC 2016,False bay,W,0.25,185,EC,WO,shutdown_within200yds,shutdown within200yds,,photo_n,,uuid:c25c6643-18da-4722-9ada-2beb2fa9edc7
Fri Jul 22 21:48:38 UTC 2016,Fri Jul 22 21:49:15 UTC 2016,Fri Jul 22 00:00:00 UTC 2016,48.57869333,48.57869333,-123.1911583,-123.1911583,Fri Jul 22 21:48:00 UTC 2016,Open bay,W,0.25,176,EC,WO,high_speed_within_400,high speed within 400,contact_no,photo_n,,uuid:c2bdd373-55e4-483d-a799-cf35907ebadd
Mon Aug 29 20:37:43 UTC 2016,Mon Aug 29 20:38:31 UTC 2016,Mon Aug 29 00:00:00 UTC 2016,48.811015,48.811015,-122.9932167,-122.9932167,Mon Aug 29 20:37:00 UTC 2016,East point,NE,2.5,141,EC,WO,400yd_inthepath,400yd inthepath,contact_no,photo_n,,uuid:a631656b-562b-4f6d-a021-1d7765235ca1
Mon Aug 29 20:37:43 UTC 2016,Mon Aug 29 20:38:31 UTC 2016,Mon Aug 29 00:00:00 UTC 2016,48.811015,48.811015,-122.9932167,-122.9932167,Mon Aug 29 20:37:00 UTC 2016,East point,NE,2.5,141,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,uuid:a631656b-562b-4f6d-a021-1d7765235ca1
Mon Aug 29 20:37:43 UTC 2016,Mon Aug 29 20:38:31 UTC 2016,Mon Aug 29 00:00:00 UTC 2016,48.811015,48.811015,-122.9932167,-122.9932167,Mon Aug 29 20:37:00 UTC 2016,East point,NE,2.5,141,EC,WO,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,uuid:a631656b-562b-4f6d-a021-1d7765235ca1
Mon Aug 29 21:42:25 UTC 2016,Mon Aug 29 21:43:45 UTC 2016,Mon Aug 29 00:00:00 UTC 2016,48.83091,48.83091,-122.987355,-122.987355,Mon Aug 29 21:42:00 UTC 2016,Patos,NW,2.5,142,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:39972d1c-c571-46ef-a7aa-6d7fd2a7a6e3
Mon Jul 04 19:58:52 UTC 2016,Mon Jul 04 19:59:29 UTC 2016,Mon Jul 04 00:00:00 UTC 2016,48.78832833,48.78832833,-123.0303467,-123.0303467,Mon Jul 04 19:59:00 UTC 2016,East point,NE,0.5,151,EC,WO,100_yards_under_power ,100 yards under power ,contact_no,photo_n,,uuid:1c9c5b44-98ef-4baa-8f8a-971d7a2a157f
Mon Jul 04 20:19:49 UTC 2016,Mon Jul 04 20:21:06 UTC 2016,Mon Jul 04 00:00:00 UTC 2016,48.77678167,48.77678167,-123.046795,-123.046795,Mon Jul 04 20:20:00 UTC 2016,East point,WSW,0.5,151,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,uuid:e181e75e-9fb1-4412-9870-51faae624625
Mon Jul 04 20:19:49 UTC 2016,Mon Jul 04 20:21:06 UTC 2016,Mon Jul 04 00:00:00 UTC 2016,48.77678167,48.77678167,-123.046795,-123.046795,Mon Jul 04 20:20:00 UTC 2016,East point,WSW,0.5,151,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:e181e75e-9fb1-4412-9870-51faae624625
Mon Jul 04 20:43:43 UTC 2016,Mon Jul 04 20:45:19 UTC 2016,Mon Jul 04 00:00:00 UTC 2016,48.77669,48.77669,-123.0552133,-123.0552133,Mon Jul 04 20:44:00 UTC 2016,Monarch,E,0.25,152,EC,WO,withineighthmile_shore,withineighthmile shore,contact_no,photo_n,,uuid:ff07770f-faad-47d9-84a2-c425a1a30261
Mon Jul 04 20:45:34 UTC 2016,Mon Jul 04 20:46:13 UTC 2016,Mon Jul 04 00:00:00 UTC 2016,48.776355,48.776355,-123.05614,-123.05614,Mon Jul 04 20:45:00 UTC 2016,Monarch,E,0.25,152,EC,WO,withineighthmile_shore,withineighthmile shore,contact_no,photo_n,,uuid:8a793698-a8c5-4cf6-a230-da1ab64221f0
Mon Jul 11 22:48:24 UTC 2016,Mon Jul 11 22:49:34 UTC 2016,Mon Jul 11 00:00:00 UTC 2016,48.46354833,48.46354833,-123.06694,-123.06694,Mon Jul 11 22:48:00 UTC 2016,False bay,S,1,184,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:27c943d9-67dd-403a-bca9-4b4cdb345fe9
